date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,bullish,candle_color,candle_streak_count,trend,exchange,pair,timeframe,date_downloaded
2023-02-24,23940.2,24132.35,22841.19,23185.29,343582.57,23242.89,23441.15,22053.28,22026.35,,18852.21,23746.77,23174.23,572.54,636.27,60.56,23242.89,1118.76,25480.42,21005.37,False,red,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-25,23184.04,23219.13,22722.0,23157.07,191311.81,23254.1,23414.1,22177.41,22070.69,,18895.05,23656.05,23172.96,483.09,605.64,59.02,23254.1,1116.61,25487.33,21020.87,False,red,5,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-26,23157.07,23689.99,23059.18,23554.85,202323.74,23293.72,23427.5,22309.63,22128.89,,18941.41,23640.48,23201.25,439.23,572.36,61.82,23293.72,1112.3,25518.32,21069.11,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-27,23554.85,23897.99,23106.77,23492.09,283706.09,23306.3,23433.65,22436.92,22182.35,,18986.69,23617.65,23222.79,394.86,536.86,61.38,23306.3,1113.09,25532.48,21080.11,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-02-28,23492.09,23600.0,23020.97,23141.57,264141.0,23315.23,23405.84,22556.18,22219.97,,19028.04,23544.41,23216.78,327.63,495.01,56.3,23315.23,1110.91,25537.04,21093.41,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-01,23141.57,24000.0,23020.03,23628.97,315287.42,23406.86,23427.09,22679.95,22275.22,,19073.82,23557.42,23247.31,310.11,458.03,44.04,23406.86,1053.11,25513.08,21300.64,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-02,23629.76,23796.93,23195.9,23465.32,239315.45,23498.86,23430.73,22790.39,22321.89,,19117.51,23543.25,23263.46,279.79,422.38,49.5,23498.86,966.04,25430.95,21566.78,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-03,23465.32,23476.95,21971.13,22354.34,319954.2,23523.45,23328.22,22860.54,22323.17,,19149.72,23360.34,23196.12,164.22,370.75,28.9,23523.45,927.7,25378.85,21668.06,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-04,22354.34,22410.0,22157.08,22346.57,121257.38,23551.6,23234.73,22908.88,22324.08,,19181.53,23204.38,23133.19,71.19,310.84,28.01,23551.6,879.41,25310.42,21792.79,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.76,23584.42,23158.11,22938.38,22328.25,,19213.86,23085.28,23081.12,4.16,249.5,31.29,23584.42,819.81,25224.04,21944.8,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.83,23594.93,23086.86,22969.15,22331.45,,19245.66,22981.39,23031.4,-50.02,189.6,22.17,23594.93,802.29,25199.5,21990.35,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.81,23488.62,23002.2,22989.4,22326.22,,19275.03,22860.86,22969.67,-108.81,129.92,23.11,23488.62,840.54,25169.7,21807.55,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57,23398.01,22878.7,23000.81,22301.87,,19299.22,22683.1,22876.02,-192.92,65.35,21.95,23398.01,930.14,25258.3,21537.72,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.29,23187.62,22639.04,22994.51,22225.81,,19309.79,22326.04,22689.81,-363.77,-20.47,17.57,23187.62,1109.66,25406.94,20968.31,False,red,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.47,22963.56,22402.05,22976.09,22144.43,,19318.16,21991.37,22501.73,-510.36,-118.45,19.48,22963.56,1246.64,25456.84,20470.27,False,red,5,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82,22772.76,22216.69,22931.86,22078.21,,19329.48,21755.12,22350.17,-595.05,-213.77,24.27,22772.76,1325.42,25423.59,20121.92,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94,22630.5,22195.77,22916.13,22075.03,,19356.02,21792.35,22324.02,-531.67,-277.35,37.82,22630.5,1241.65,25113.8,20147.2,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31,22613.57,22378.41,22944.24,22154.97,,19403.36,22149.45,22456.57,-307.13,-283.31,53.68,22613.57,1217.58,25048.72,20178.42,False,green,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93,22637.98,22596.7,22979.32,22253.61,,19455.77,22537.29,22620.56,-83.27,-243.3,58.83,22637.98,1255.0,25147.97,20127.98,False,green,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.73,22655.25,22757.55,23012.38,22333.3,,19503.83,22806.27,22743.9,62.37,-182.17,53.84,22655.25,1276.06,25207.38,20103.12,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.33,22745.92,22971.0,23051.13,22437.83,,19558.51,23143.58,22910.93,232.65,-99.2,58.43,22745.92,1376.21,25498.35,19993.5,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68,22957.83,23392.35,23138.84,22632.23,,19636.48,23797.66,23243.09,554.57,31.55,74.27,22957.83,1724.94,26407.72,19507.94,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97,23125.46,23727.12,23215.51,22799.89,,19708.83,24276.1,23514.53,761.57,177.55,70.99,23125.46,1936.01,26997.48,19253.44,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99,23349.5,24131.48,23314.52,23002.75,,19791.06,24844.83,23844.78,1000.05,342.05,73.39,23349.5,2219.22,27787.94,18911.06,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23,23578.27,24472.96,23394.01,23187.62,,19869.92,25286.71,24131.61,1155.1,504.66,71.96,23578.27,2423.12,28424.51,18732.03,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.74,23802.1,24818.91,23499.6,23380.48,,19951.87,25720.36,24425.97,1294.39,662.61,74.1,23802.1,2626.28,29054.66,18549.53,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41,23991.38,25050.54,23582.11,23532.27,,20024.5,25955.84,24635.23,1320.61,794.21,71.97,23991.38,2734.91,29461.19,18521.56,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.61,24288.43,25359.57,23673.37,23719.06,,20106.8,26315.77,24906.35,1409.42,917.25,82.19,24288.43,2867.19,30022.81,18554.06,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.07,24543.83,25559.09,23752.68,23865.54,,20179.91,26490.96,25095.1,1395.85,1012.97,78.2,24543.83,2912.25,30368.33,18719.32,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08,24795.46,25740.41,23833.3,24006.62,,20252.37,26640.49,25270.5,1370.0,1084.38,77.69,24795.46,2937.33,30670.13,18920.79,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.7,25073.36,25952.56,23926.12,24161.97,,20329.15,26844.73,25470.32,1374.42,1142.38,75.7,25073.36,2962.58,30998.53,19148.2,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.47,25319.71,26064.22,24009.96,24278.16,,20396.77,26887.84,25592.88,1294.96,1172.9,64.55,25319.71,2915.37,31150.45,19488.98,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44,25597.49,26178.2,24099.93,24395.14,,20465.07,26945.26,25716.45,1228.81,1184.08,63.05,25597.49,2815.85,31229.19,19965.8,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16,25996.81,26384.91,24202.1,24550.18,,20543.51,27161.16,25911.42,1249.73,1197.21,69.12,25996.81,2591.71,31180.23,20813.4,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-30,28348.6,29184.68,27686.0,28028.53,98865.43,26390.7,26541.44,24303.41,24686.58,,20617.99,27294.6,26068.25,1226.35,1203.04,64.8,26390.7,2229.82,30850.34,21931.07,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-03-31,28028.53,28656.69,27511.71,28465.36,78198.12,26791.19,26724.67,24436.79,24834.77,,20696.07,27474.72,26245.81,1228.91,1208.21,56.47,26791.19,1782.11,30355.41,23226.97,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-01,28465.36,28819.71,28220.27,28452.73,30238.45,27113.97,26889.25,24573.34,24976.65,,20773.25,27625.18,26409.29,1215.89,1209.75,59.91,27113.97,1414.89,29943.74,24284.19,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-02,28452.74,28530.0,27856.43,28171.87,37365.66,27316.89,27011.4,24699.52,25101.95,,20846.87,27709.29,26539.85,1169.44,1201.69,51.42,27316.89,1242.43,29801.74,24832.03,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-03,28171.87,28500.99,27200.24,27800.0,79180.01,27473.37,27086.51,24819.85,25207.76,,20916.06,27723.24,26633.19,1090.05,1179.36,50.58,27473.37,1077.73,29628.84,25317.9,False,red,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-04,27800.0,28444.44,27662.79,28165.47,49722.56,27667.36,27189.27,24947.68,25323.75,,20988.19,27791.28,26746.69,1044.58,1152.4,50.42,27667.36,782.49,29232.34,26102.37,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-05,28165.47,28775.0,27805.1,28170.01,60737.65,27825.92,27282.67,25067.09,25435.37,,21059.65,27849.54,26852.13,997.42,1121.41,57.34,27825.92,473.63,28773.17,26878.66,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-06,28170.01,28182.05,27711.0,28033.82,40118.95,27857.85,27354.21,25141.28,25537.27,,21129.05,27877.89,26939.66,938.24,1084.77,47.56,27857.85,464.5,28786.85,26928.86,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-07,28033.83,28100.0,27766.94,27906.33,24762.09,27907.8,27406.79,25229.06,25630.17,,21196.48,27882.27,27011.26,871.01,1042.02,54.87,27907.8,407.09,28721.97,27093.62,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-08,27906.34,28154.99,27859.02,27938.38,19479.97,27906.07,27457.42,25296.42,25720.69,,21263.57,27890.9,27079.94,810.96,995.81,55.1,27906.07,406.87,28719.81,27092.33,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-09,27938.38,28530.0,27800.0,28323.76,32531.16,27936.41,27539.93,25370.26,25822.77,,21333.82,27957.49,27172.07,785.42,953.73,53.92,27936.41,414.58,28765.56,27107.25,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-04-10,28323.76,29770.0,28170.0,29637.34,67754.06,28013.0,27739.68,25477.57,25972.36,,21416.44,28215.93,27354.69,861.25,935.23,75.07,28013.0,562.55,29138.11,26887.89,False,green,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
