date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,exchange,pair,timeframe,date_downloaded
2017-08-24 04:00:00,4113.58,4177.64,4090.39,4153.32,123.18,4036.71,4083.85,,4133.56,,4264.63,4095.74,4088.51,7.23,-18.28,57.72,4036.71,116.5,4269.72,3803.71,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-24 08:00:00,4153.8,4250.94,4150.0,4202.0,171.49,4042.58,4095.1,,4136.24,,4264.0,4112.09,4096.92,15.17,-11.59,71.64,4042.58,121.87,4286.32,3798.83,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-24 12:00:00,4211.78,4250.9,4136.33,4222.0,147.0,4051.49,4107.18,,4139.6,,4263.58,4129.0,4106.18,22.81,-4.71,78.63,4051.49,128.31,4308.12,3794.87,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-24 16:00:00,4223.06,4250.77,4178.22,4216.07,111.58,4061.14,4117.55,,4142.6,,4263.11,4142.39,4114.32,28.07,1.85,75.79,4061.14,133.22,4327.59,3794.69,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-24 20:00:00,4216.1,4371.68,4193.17,4316.01,110.66,4075.84,4136.46,,4149.4,,4263.64,4169.1,4129.26,39.84,9.44,79.74,4075.84,144.43,4364.7,3786.99,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 00:00:00,4316.01,4370.0,4295.75,4312.69,141.1,4090.12,4153.24,,4155.81,,4264.13,4191.19,4142.85,48.34,17.22,75.39,4090.12,153.21,4396.54,3783.71,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 04:00:00,4312.69,4362.0,4267.5,4329.0,101.51,4105.77,4169.98,,4162.6,,4264.77,4212.39,4156.64,55.76,24.93,73.79,4105.77,161.02,4427.82,3783.73,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 08:00:00,4317.81,4361.28,4298.74,4361.27,74.43,4130.72,4188.2,4137.97,4170.39,,4265.73,4235.3,4171.8,63.5,32.65,72.52,4130.72,159.97,4450.66,3810.77,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 12:00:00,4361.27,4422.29,4261.13,4394.36,164.21,4160.53,4207.83,4138.86,4179.17,,4267.01,4259.77,4188.28,71.49,40.41,77.22,4160.53,149.97,4460.47,3860.6,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 16:00:00,4394.36,4453.91,4284.11,4307.17,52.4,4182.57,4217.29,4136.45,4184.19,,4267.41,4267.06,4197.09,69.97,46.33,56.77,4182.57,136.23,4455.04,3910.1,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-25 20:00:00,4326.0,4365.0,4247.48,4280.68,39.96,4203.69,4223.33,4135.02,4187.98,,4267.54,4269.16,4203.28,65.88,50.24,58.42,4203.69,114.28,4432.25,3975.13,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 00:00:00,4280.71,4315.0,4228.99,4297.94,41.64,4219.38,4230.43,4134.47,4192.29,,4267.85,4273.58,4210.29,63.29,52.85,70.85,4219.38,103.61,4426.59,4012.16,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 04:00:00,4297.94,4319.7,4252.44,4319.7,28.71,4233.36,4238.94,4135.17,4197.28,,4268.36,4280.68,4218.4,62.28,54.73,72.73,4233.36,96.77,4426.9,4039.82,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 08:00:00,4319.7,4319.7,4260.88,4288.72,36.15,4242.78,4243.68,4135.09,4200.87,,4268.56,4281.92,4223.61,58.31,55.45,68.13,4242.78,92.21,4427.19,4058.36,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 12:00:00,4288.72,4306.74,4221.14,4275.0,34.65,4252.78,4246.66,4134.59,4203.78,,4268.63,4280.85,4227.41,53.44,55.05,63.31,4252.78,83.47,4419.73,4085.83,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 16:00:00,4275.0,4351.32,4212.41,4293.52,47.43,4255.56,4251.12,4133.65,4207.3,,4268.88,4282.8,4232.31,50.49,54.14,60.72,4255.56,83.88,4423.32,4087.8,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-26 20:00:00,4293.52,4367.0,4279.0,4337.44,39.52,4262.58,4259.34,4135.66,4212.4,,4269.56,4291.21,4240.1,51.11,53.53,62.81,4262.58,84.6,4431.77,4093.38,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-27 00:00:00,4332.51,4400.0,4314.91,4314.91,62.98,4272.47,4264.64,4139.24,4216.42,,4270.01,4294.85,4245.64,49.22,52.67,60.58,4272.47,78.0,4428.46,4116.48,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-27 04:00:00,4329.19,4370.85,4293.42,4313.84,47.48,4282.46,4269.32,4143.35,4220.24,,4270.45,4297.77,4250.69,47.08,51.55,49.71,4282.46,68.9,4420.26,4144.67,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-27 08:00:00,4331.29,4352.34,4285.56,4323.37,57.14,4292.95,4274.47,4147.04,4224.28,,4270.97,4301.71,4256.07,45.64,50.37,51.43,4292.95,56.73,4406.41,4179.5,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
